groups;type_vegetation;n;;
build_agri_fire;paille_lin_ble;2;;
build_agri_fire;paille_luzerne;1;;
build_agri_fire;paille_materiel_divers;1;;
build_agri_fire;paille_pomme_de_terre;2;;
build_agri_fire;paille_porc;1;;
build_agri_fire;paille_recolte;1;;
build_agri_fire;paille_regain;1;;
build_agri_fire;paille_semence;1;;
build_agri_fire;perdrix;1;;
build_agri_fire;pintade;1;;
build_agri_fire;pois_chiche;1;;
build_agri_fire;pomme_de_terre;6;;
build_agri_fire;pomme_de_terre_paille;1;;
build_agri_fire;porc;1;;
build_agri_fire;poule;1;;
build_agri_fire;poules;1;;
build_agri_fire;poulet;1;;
build_agri_fire;poussin;2;;
build_agri_fire;poussins;1;;
build_agri_fire;prune_noix;1;;
build_agri_fire;recolte;1;;
build_agri_fire;regain;1;;
build_agri_fire;roudballer;4;;
build_agri_fire;roudballers;3;;
build_agri_fire;roundballer;19;;
build_agri_fire;silos;1;;
build_agri_fire;tabac;1;;
build_agri_fire;NA;35;;
pasto_fire;bois;24;bois;
pasto_fire;broussaille;370;STH;
pasto_fire;broussaille_herbe_seche;2;STH;
pasto_fire;broussailles;1;STH;
pasto_fire;champ;14;chaume;
pasto_fire;champ_broussaille;1;STH;
pasto_fire;chaume;2;chaume;
pasto_fire;chaume_broussaille;1;STH;
pasto_fire;chaume_cypres;1;TBR;
pasto_fire;chaume_herbe_seche;1;STH;
pasto_fire;chaume_sous_bois;1;TBR;
pasto_fire;feuillus;2;bois;
pasto_fire;foin;2;autre fourage;
pasto_fire;foret;63;bois;
pasto_fire;foret_broussaille;2;bois;
pasto_fire;fourrage;1;autre fourage;
pasto_fire;friche;10;STH;
pasto_fire;garrigue;16;STH;
pasto_fire;haie;1;TBR;
pasto_fire;herbe;28;STH;
pasto_fire;herbe_broussaille;5;STH;
pasto_fire;herbe_seche;34;STH;
pasto_fire;herbe_seche_broussaille;3;STH;
pasto_fire;herbe_seche_genet;1;TBR;
pasto_fire;lande;17;STH;
pasto_fire;lande_pin;1;TBR;
pasto_fire;landes;2;STH;
pasto_fire;ma_is;1;mais;
pasto_fire;paille;2;paille;
pasto_fire;paille_vegetation;1;paille;
pasto_fire;paturage;2;autre fourage;
pasto_fire;pin;6;bois;
pasto_fire;pinede_vigne;1;bois;
pasto_fire;prairie;7;autre fourage;
pasto_fire;prairie_broussaille;1;autre fourage;
pasto_fire;pre;3;autre fourage;
pasto_fire;sapin;3;bois;
pasto_fire;sous_bois;44;bois;
